,Year,Month,BORO_NM,LAW_CAT_FELONY,LAW_CAT_MISDEMEANOR,LAW_CAT_VIOLATION
335,2020,3,STATEN ISLAND,340,756,281
336,2020,4,(null),0,2,1
337,2020,4,BRONX,1673,3033,928
338,2020,4,BROOKLYN,2407,3550,1250
339,2020,4,MANHATTAN,1605,2711,763
340,2020,4,QUEENS,1755,2610,843
341,2020,4,STATEN ISLAND,287,574,216
342,2020,5,(null),0,0,1
343,2020,5,BRONX,2131,4076,1294
344,2020,5,BROOKLYN,3180,4756,1450
345,2020,5,MANHATTAN,2124,3792,816
346,2020,5,QUEENS,2215,3566,1184
347,2020,5,STATEN ISLAND,353,700,287
348,2020,6,(null),0,0,1
349,2020,6,BRONX,2340,3680,1283
350,2020,6,BROOKLYN,3175,4493,1599
351,2020,6,MANHATTAN,2784,3817,968
352,2020,6,QUEENS,2274,3582,1318
353,2020,6,STATEN ISLAND,356,601,345
354,2020,7,(null),0,1,0
355,2020,7,BRONX,2222,3845,1493
356,2020,7,BROOKLYN,3670,5090,1766
357,2020,7,MANHATTAN,2654,4416,1175
358,2020,7,QUEENS,2594,3916,1519
359,2020,7,STATEN ISLAND,358,736,333
360,2020,8,(null),0,2,0
361,2020,8,BRONX,2564,3976,1448
362,2020,8,BROOKLYN,3890,5465,1800
363,2020,8,MANHATTAN,2924,4609,1148
364,2020,8,QUEENS,2821,4101,1586
365,2020,8,STATEN ISLAND,433,715,346
366,2020,9,(null),0,2,0
367,2020,9,BRONX,2652,3676,1373
368,2020,9,BROOKLYN,3760,5135,1648
369,2020,9,MANHATTAN,3036,4589,1207
370,2020,9,QUEENS,2759,3721,1381
371,2020,9,STATEN ISLAND,385,758,346
372,2020,10,(null),0,1,0
373,2020,10,BRONX,2655,4099,1389
374,2020,10,BROOKLYN,3826,5102,1747
375,2020,10,MANHATTAN,3170,4991,1129
376,2020,10,QUEENS,2732,4078,1406
377,2020,10,STATEN ISLAND,429,764,338
378,2020,11,(null),0,1,1
379,2020,11,BRONX,2498,3993,1279
380,2020,11,BROOKLYN,3547,4870,1590
381,2020,11,MANHATTAN,2785,4289,1072
382,2020,11,QUEENS,2498,3737,1277
383,2020,11,STATEN ISLAND,359,754,293
384,2020,12,(null),0,1,0
385,2020,12,BRONX,2423,3835,1257
386,2020,12,BROOKLYN,3363,4733,1474
387,2020,12,MANHATTAN,2773,4157,1011
388,2020,12,QUEENS,2443,3743,1232
389,2020,12,STATEN ISLAND,446,689,270
390,2021,1,(null),0,0,1
391,2021,1,BRONX,2291,3719,1169
392,2021,1,BROOKLYN,3384,4729,1568
393,2021,1,MANHATTAN,2498,4192,1032
394,2021,1,QUEENS,2342,3737,1191
395,2021,1,STATEN ISLAND,398,732,251
396,2021,2,(null),1,1,0
397,2021,2,BRONX,1968,3107,1077
398,2021,2,BROOKLYN,2689,3901,1484
399,2021,2,MANHATTAN,2135,3631,944
400,2021,2,QUEENS,1886,3208,1085
401,2021,2,STATEN ISLAND,377,604,303
402,2021,3,(null),0,13,0
403,2021,3,BRONX,2353,3877,1321
404,2021,3,BROOKLYN,3355,5004,1694
405,2021,3,MANHATTAN,2752,4565,1218
406,2021,3,QUEENS,2286,3992,1332
407,2021,3,STATEN ISLAND,463,757,328
408,2021,4,(null),0,93,0
409,2021,4,BRONX,2242,3310,1243
410,2021,4,BROOKLYN,3086,4670,1733
411,2021,4,MANHATTAN,2519,4279,1232
412,2021,4,QUEENS,2310,3744,1263
413,2021,4,STATEN ISLAND,427,780,310
414,2021,5,(null),1,52,0
415,2021,5,BRONX,2564,3663,1455
416,2021,5,BROOKLYN,3563,5074,1815
417,2021,5,MANHATTAN,2915,5075,1285
418,2021,5,QUEENS,2542,4070,1442
419,2021,5,STATEN ISLAND,433,825,371
420,2021,6,(null),4,67,0
421,2021,6,BRONX,2708,3814,1421
422,2021,6,BROOKLYN,3625,5228,1952
423,2021,6,MANHATTAN,3094,5031,1305
424,2021,6,QUEENS,2520,4037,1496
425,2021,6,STATEN ISLAND,421,848,391
426,2021,7,(null),8,67,0
427,2021,7,BRONX,2862,4110,1483
428,2021,7,BROOKLYN,3876,5329,1949
429,2021,7,MANHATTAN,3156,5210,1313
430,2021,7,QUEENS,2665,4287,1543
431,2021,7,STATEN ISLAND,420,863,354
432,2021,8,(null),3,71,0
433,2021,8,BRONX,2839,3990,1463
434,2021,8,BROOKLYN,3812,5232,1964
435,2021,8,MANHATTAN,3233,5273,1384
436,2021,8,QUEENS,2770,4370,1537
437,2021,8,STATEN ISLAND,414,755,400
438,2021,9,(null),7,70,0
439,2021,9,BRONX,2831,4020,1456
440,2021,9,BROOKLYN,3879,5148,2026
441,2021,9,MANHATTAN,3538,5450,1369
442,2021,9,QUEENS,2747,4398,1611
443,2021,9,STATEN ISLAND,458,829,370
444,2021,10,(null),0,76,0
445,2021,10,BRONX,3150,4241,1647
446,2021,10,BROOKLYN,4094,5694,2137
447,2021,10,MANHATTAN,3795,5877,1486
448,2021,10,QUEENS,2836,4516,1653
449,2021,10,STATEN ISLAND,462,848,400
450,2021,11,(null),6,81,2
451,2021,11,BRONX,2982,4107,1479
452,2021,11,BROOKLYN,3880,5522,2059
453,2021,11,MANHATTAN,3576,5345,1322
454,2021,11,QUEENS,3149,4384,1387
455,2021,11,STATEN ISLAND,438,868,358
456,2021,12,(null),1,105,0
457,2021,12,BRONX,3039,3981,1494
458,2021,12,BROOKLYN,4120,5502,1959
459,2021,12,MANHATTAN,3454,5100,1239
460,2021,12,QUEENS,4161,4435,1420
461,2021,12,STATEN ISLAND,487,827,356
462,2022,1,(null),1,121,0
463,2022,1,BRONX,2834,3870,1499
464,2022,1,BROOKLYN,3824,5169,1846
465,2022,1,MANHATTAN,3262,4738,1249
466,2022,1,QUEENS,3134,4199,1337
467,2022,1,STATEN ISLAND,456,739,348
468,2022,2,(null),3,114,2
469,2022,2,BRONX,2795,3796,1368
470,2022,2,BROOKLYN,3718,4944,1714
471,2022,2,MANHATTAN,3284,5343,1213
472,2022,2,QUEENS,2886,4146,1156
473,2022,2,STATEN ISLAND,422,815,314
474,2022,3,(null),0,65,0
475,2022,3,BRONX,3230,4787,1683
476,2022,3,BROOKLYN,4196,6024,2050
477,2022,3,MANHATTAN,3647,6308,1509
478,2022,3,QUEENS,3009,4659,1496
479,2022,3,STATEN ISLAND,489,974,386
480,2022,4,(null),1,94,2
481,2022,4,BRONX,2942,4498,1645
482,2022,4,BROOKLYN,3894,5862,2062
483,2022,4,MANHATTAN,3664,5956,1355
484,2022,4,QUEENS,2974,4663,1478
485,2022,4,STATEN ISLAND,445,934,385
486,2022,5,(null),2,56,2
487,2022,5,BRONX,3267,4675,1772
488,2022,5,BROOKLYN,4373,6365,2157
489,2022,5,MANHATTAN,3971,6222,1530
490,2022,5,QUEENS,3182,5156,1606
491,2022,5,STATEN ISLAND,489,920,430
492,2022,6,(null),2,77,1
493,2022,6,BRONX,3414,4810,1732
494,2022,6,BROOKLYN,4264,6466,2293
495,2022,6,MANHATTAN,4132,6465,1604
496,2022,6,QUEENS,3367,5133,1718
497,2022,6,STATEN ISLAND,495,1026,457
498,2022,7,(null),1,82,0
499,2022,7,BRONX,3544,4839,1547
500,2022,7,BROOKLYN,4644,6576,2258
501,2022,7,MANHATTAN,4184,6208,1420
502,2022,7,QUEENS,3461,5164,1615
503,2022,7,STATEN ISLAND,509,1066,434
504,2022,8,(null),1,94,0
505,2022,8,BRONX,3290,4815,1631
506,2022,8,BROOKLYN,4643,6599,2246
507,2022,8,MANHATTAN,3978,6232,1482
508,2022,8,QUEENS,3516,5260,1640
509,2022,8,STATEN ISLAND,541,1169,397
510,2022,9,(null),5,79,0
511,2022,9,BRONX,3247,4599,1602
512,2022,9,BROOKLYN,4244,6097,2216
513,2022,9,MANHATTAN,4011,6114,1429
514,2022,9,QUEENS,3484,4942,1500
515,2022,9,STATEN ISLAND,527,1042,407
516,2022,10,(null),4,91,2
517,2022,10,BRONX,3454,4826,1600
518,2022,10,BROOKLYN,4369,6229,2298
519,2022,10,MANHATTAN,3985,6174,1473
520,2022,10,QUEENS,3484,5171,1519
521,2022,10,STATEN ISLAND,548,1101,388
522,2022,11,(null),0,94,2
523,2022,11,BRONX,3263,4685,1560
524,2022,11,BROOKLYN,4048,6070,2169
525,2022,11,MANHATTAN,3715,5766,1468
526,2022,11,QUEENS,3276,5048,1512
527,2022,11,STATEN ISLAND,564,1068,428
528,2022,12,(null),2,84,0
529,2022,12,BRONX,3245,4439,1453
530,2022,12,BROOKLYN,3797,5820,1999
531,2022,12,MANHATTAN,3636,5392,1270
532,2022,12,QUEENS,3154,4704,1308
533,2022,12,STATEN ISLAND,507,1070,374
534,2023,1,(null),2,78,0
535,2023,1,BRONX,3388,4789,1552
536,2023,1,BROOKLYN,4385,6427,2113
537,2023,1,MANHATTAN,3638,5724,1410
538,2023,1,QUEENS,3242,5149,1406
539,2023,1,STATEN ISLAND,523,1074,388
540,2023,2,(null),1,69,0
541,2023,2,BRONX,2879,4292,1372
542,2023,2,BROOKLYN,3728,5583,1884
543,2023,2,MANHATTAN,3150,4945,1252
544,2023,2,QUEENS,2998,4742,1351
545,2023,2,STATEN ISLAND,456,919,326
546,2023,3,(null),2,88,1
547,2023,3,BRONX,3353,4840,1631
548,2023,3,BROOKLYN,4226,6418,2270
549,2023,3,MANHATTAN,3688,5464,1438
550,2023,3,QUEENS,3330,5273,1497
551,2023,3,STATEN ISLAND,563,1100,399
552,2023,4,(null),5,53,1
553,2023,4,BRONX,3441,4752,1512
554,2023,4,BROOKLYN,4254,6185,2140
555,2023,4,MANHATTAN,3579,5503,1408
556,2023,4,QUEENS,3211,4859,1482
557,2023,4,STATEN ISLAND,590,1037,425
558,2023,5,(null),0,61,0
559,2023,5,BRONX,3669,5413,1802
560,2023,5,BROOKLYN,4552,6631,2346
561,2023,5,MANHATTAN,3817,6210,1499
562,2023,5,QUEENS,3506,5574,1793
563,2023,5,STATEN ISLAND,579,1193,453
564,2023,6,(null),2,97,1
565,2023,6,BRONX,3638,5116,1612
566,2023,6,BROOKLYN,4501,6439,2370
567,2023,6,MANHATTAN,3956,6193,1449
568,2023,6,QUEENS,3474,5263,1546
569,2023,6,STATEN ISLAND,604,1137,402
570,2023,7,(null),4,89,2
571,2023,7,BRONX,3821,4971,1637
572,2023,7,BROOKLYN,4663,6688,2273
573,2023,7,MANHATTAN,3947,6190,1438
574,2023,7,QUEENS,3648,5461,1626
575,2023,7,STATEN ISLAND,612,1168,393
576,2023,8,(null),3,84,1
577,2023,8,BRONX,3855,4975,1683
578,2023,8,BROOKLYN,4602,6707,2173
579,2023,8,MANHATTAN,4178,6359,1473
580,2023,8,QUEENS,3748,5523,1604
581,2023,8,STATEN ISLAND,603,1129,438
582,2023,9,(null),1,69,0
583,2023,9,BRONX,3508,4830,1498
584,2023,9,BROOKLYN,4191,6232,2161
585,2023,9,MANHATTAN,3967,5729,1389
586,2023,9,QUEENS,3464,5068,1518
587,2023,9,STATEN ISLAND,553,1008,374
588,2023,10,(null),3,98,1
589,2023,10,BRONX,3567,5317,1657
590,2023,10,BROOKLYN,4536,6526,2423
591,2023,10,MANHATTAN,3850,6222,1527
592,2023,10,QUEENS,3696,5406,1689
593,2023,10,STATEN ISLAND,631,1179,411
594,2023,11,(null),4,101,0
595,2023,11,BRONX,3258,4823,1624
596,2023,11,BROOKLYN,4196,6139,2159
597,2023,11,MANHATTAN,3716,5802,1440
598,2023,11,QUEENS,3327,5235,1560
599,2023,11,STATEN ISLAND,559,1178,387
600,2023,12,(null),7,91,0
601,2023,12,BRONX,3413,5009,1545
602,2023,12,BROOKLYN,4048,6311,2147
603,2023,12,MANHATTAN,3790,5580,1376
604,2023,12,QUEENS,3307,5301,1437
605,2023,12,STATEN ISLAND,522,1131,363
606,2024,1,(null),0,4,1
607,2024,1,BRONX,3530,5160,1649
608,2024,1,BROOKLYN,4315,6473,2160
609,2024,1,MANHATTAN,3616,5958,1573
610,2024,1,QUEENS,3483,5477,1526
611,2024,1,STATEN ISLAND,533,1136,357
612,2024,2,(null),0,1,0
613,2024,2,BRONX,3219,4805,1559
614,2024,2,BROOKLYN,3984,6191,1954
615,2024,2,MANHATTAN,3336,5599,1361
616,2024,2,QUEENS,3187,5328,1407
617,2024,2,STATEN ISLAND,517,1133,369
618,2024,3,(null),1,0,1
619,2024,3,BRONX,3459,5126,1603
620,2024,3,BROOKLYN,4131,6557,2108
621,2024,3,MANHATTAN,3577,6084,1539
622,2024,3,QUEENS,3407,5415,1516
623,2024,3,STATEN ISLAND,596,1152,418
624,2024,4,(null),0,2,0
625,2024,4,BRONX,3398,4884,1525
626,2024,4,BROOKLYN,4195,6420,2150
627,2024,4,MANHATTAN,3628,6061,1402
628,2024,4,QUEENS,3429,5266,1569
629,2024,4,STATEN ISLAND,541,1092,415
630,2024,5,(null),4,54,1
631,2024,5,BRONX,3777,5336,1741
632,2024,5,BROOKLYN,4622,7013,2483
633,2024,5,MANHATTAN,3965,6511,1647
634,2024,5,QUEENS,3581,5710,1707
635,2024,5,STATEN ISLAND,567,1152,464
636,2024,6,(null),6,80,9
637,2024,6,BRONX,3762,5154,1653
638,2024,6,BROOKLYN,4577,7198,2349
639,2024,6,MANHATTAN,3791,6257,1424
640,2024,6,QUEENS,3687,5927,1780
641,2024,6,STATEN ISLAND,621,1095,426
642,2024,7,(null),11,118,7
643,2024,7,BRONX,4151,5506,1677
644,2024,7,BROOKLYN,4442,6899,2344
645,2024,7,MANHATTAN,4071,6619,1500
646,2024,7,QUEENS,3870,6035,1777
647,2024,7,STATEN ISLAND,576,1080,423
648,2024,8,(null),1,78,0
649,2024,8,BRONX,3947,5356,1647
650,2024,8,BROOKLYN,4459,7126,2334
651,2024,8,MANHATTAN,4031,6722,1432
652,2024,8,QUEENS,3839,5798,1684
653,2024,8,STATEN ISLAND,547,1011,422
654,2024,9,(null),2,95,0
655,2024,9,BRONX,3759,5209,1653
656,2024,9,BROOKLYN,4347,6826,2306
657,2024,9,MANHATTAN,3912,6574,1535
658,2024,9,QUEENS,3506,5588,1744
659,2024,9,STATEN ISLAND,563,1051,440
660,2024,10,(null),1,105,0
661,2024,10,BRONX,3910,5411,1753
662,2024,10,BROOKLYN,4397,7325,2407
663,2024,10,MANHATTAN,3971,6962,1625
664,2024,10,QUEENS,3536,5707,1776
665,2024,10,STATEN ISLAND,538,1135,435
666,2024,11,(null),0,82,0
667,2024,11,BRONX,3534,5332,1645
668,2024,11,BROOKLYN,4010,6814,2148
669,2024,11,MANHATTAN,3814,6445,1447
670,2024,11,QUEENS,3214,5354,1630
671,2024,11,STATEN ISLAND,465,1001,404
672,2024,12,(null),0,171,0
673,2024,12,BRONX,3269,5063,1507
674,2024,12,BROOKLYN,3630,6496,2005
675,2024,12,MANHATTAN,3481,5792,1380
676,2024,12,QUEENS,3062,5185,1453
677,2024,12,STATEN ISLAND,500,1044,375
